"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9552685444856","65.9426393541986","65.8309156084924","65.7440954821365","65.6022667301227","65.386749362429","65.3300188191035","65.2983791560966","65.2289176145158","65.5066441427743","65.7034226603352","65.9297608971974","65.907798537146","65.6657961232842","65.7093562002671","65.1197839111997","64.628490374656","64.0349766483134","63.782248702582","63.487422146309","62.8881969216547","62.1891101890814","61.8619735443831","61.2718580652184","60.7712673006108","60.4139045175243","59.9906956206909","59.5747209006574","59.2532370480414","","",
"Afganistán","AFG","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4300003051758","63.6500015258789","64.4100036621094","64.4400024414063","64.3000030517578","64.6800003051758","64.9800033569336","65.1999969482422","65.4599990844727","65.8399963378906","66.2900009155273","64.4199981689453","63.7000007629395","63.2700004577637","62.1500015258789","61.2799987792969","60.1399993896484","59.2900009155273","56.8899993896484","54.5800018310547","53.560001373291","51.4000015258789","49.8199996948242","48.4099998474121","47.0699996948242","45.810001373291","43.9900016784668","43.1300010681152","42.5","","",
"","AFW","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1968079543202","59.0866366618408","59.0255488380725","58.8853478742761","58.6810021497953","58.3729901716739","58.0299291440087","57.6658152430088","57.3357992678099","56.9388584921526","56.3911787804805","55.6368706175361","55.0045544439429","54.2987396835721","53.6543388368893","53.0125962035185","52.2344559137685","51.3547089822174","50.4653272160108","49.4868056805113","48.5391260257445","47.4346232169962","46.3649288134751","45.0342664758877","43.8503151593363","43.47368271356","42.7858562500021","42.1590084438767","41.5371219522733","","",
"Angola","AGO","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8300018310547","39.9000015258789","40.2099990844727","40.0900001525879","39.560001373291","38.9799995422363","38.5400009155273","38.1599998474121","37.8600006103516","37.5","37.2200012207031","36.560001373291","36.4500007629395","36.1699981689453","38.1100006103516","40.2099990844727","42.2099990844727","44.3699989318848","46.5099983215332","48.8800010681152","51.2200012207031","51.2299995422363","51.1800003051758","51.1399993896484","51.1599998474121","51.1500015258789","50.9900016784668","50.9099998474121","50.7299995422363","","",
"Albania","ALB","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.9099998474121","58.1100006103516","57.6199989318848","57.0800018310547","56.3600006103516","55.939998626709","56.060001373291","55.25","54.0299987792969","52.8199996948242","51.310001373291","50.1599998474121","49.2700004577637","48.3400001525879","47.3800010681152","46.2999992370605","45.5499992370605","44.6599998474121","44.0499992370605","42.0800018310547","45.3899993896484","46","44.2000007629395","42.2599983215332","41.2799987792969","40.0400009155273","38.0800018310547","37.2900009155273","36.4199981689453","","",
"Andorra","AND","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2616056517927","34.6745771639869","33.8444678140867","33.6148873362853","32.6865139530336","32.0253166749583","31.3709457144282","30.6333458047647","30.0448764751608","30.2882687957709","29.4859238061997","28.6933884533149","28.6650361049052","28.6424125470304","27.6757922581524","26.8391652361189","26.2541700729957","25.4055182344505","24.2807011099048","23.1169112456297","22.7179044379897","21.8448271347069","21.6901713711073","21.4648574031466","20.8290676845803","20.315232131353","19.7414035957552","18.602307564483","17.9765657861157","","",
"Emiratos Árabes Unidos","ARE","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46000003814697","8.36999988555908","8.23999977111816","8.13000011444092","8","7.98999977111816","7.96000003814697","7.92000007629395","7.92000007629395","7.90000009536743","7.25","6.67000007629395","6.1100001335144","5.63000011444092","5.19000005722046","4.78000020980835","4.3899998664856","4.03999996185303","3.6800000667572","3.38000011444092","3.07999992370605","2.78999996185303","2.50999999046326","2.25","2.00999999046326","1.80999994277954","1.62000000476837","1.46000003814697","1.38999998569489","","",
"Argentina","ARG","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.340000003576279","0.400000005960464","0.449999988079071","0.449999988079071","0.620000004768372","0.759999990463257","0.800000011920929","0.759999990463257","0.740000009536743","0.670000016689301","0.829999983310699","0.980000019073486","1.39999997615814","1.5","1.27999997138977","1.04999995231628","1.12000000476837","1.20000004768372","1.23000001907349","1.26999998092651","0.639999985694885","0.620000004768372","0.620000004768372","0.550000011920929","0.259999990463257","0.129999995231628","0.0599999986588955","0.100000001490116","0.0599999986588955","","",
